x_cm,y_cm,z_cm,kineticEnergy_GeV
-15.4200,0.0002,349.9000,4.2256
-14.1829,-1.0519,349.9000,4.2193
-12.1736,0.1198,349.9000,4.2184
-15.8879,0.4644,349.9000,4.2104
-15.4316,-0.2464,349.9000,4.2249
-15.4432,-2.3214,349.9000,4.2241
-15.9145,-0.7371,349.9000,4.2212
-14.7642,0.2719,349.9000,4.2220
-11.9244,-0.1916,349.9000,4.2132
-16.0030,-0.6156,349.9000,4.2263
-15.5161,-0.4898,349.9000,4.2200
-13.7320,0.4588,349.9000,4.2229
-15.7255,-1.4557,349.9000,4.2239
-15.3748,-0.8583,349.9000,4.2269
-16.1363,0.7008,349.9000,4.2235
-14.9989,-0.4202,349.9000,4.2256
-25.5431,-8.6147,349.9000,4.1068
-15.5852,-0.8805,349.9000,4.2257
-15.1815,0.3281,349.9000,4.2248
-15.6440,-0.2301,349.9000,4.2218
-15.8750,-0.6824,349.9000,4.2242
-13.9697,-0.7565,349.9000,4.2241
-15.5559,0.2688,349.9000,4.2209
-16.6168,-0.1030,349.9000,4.2200
-13.8749,-0.0969,349.9000,4.2172
-15.4678,-1.7764,349.9000,4.2253
-13.5904,-1.4501,349.9000,4.2239
-15.3078,0.3454,349.9000,4.2188
-14.1684,-0.2934,349.9000,4.2208
-12.8377,0.4658,349.9000,4.2232
-15.4738,-0.8248,349.9000,4.2260
-15.3008,1.8898,349.9000,4.2246
-11.6487,0.5429,349.9000,4.2218
-13.4683,0.8878,349.9000,4.2258
-13.2260,-0.6462,349.9000,4.2209
-14.7772,-0.6158,349.9000,4.2246
-13.3736,0.4731,349.9000,4.2241
-13.5341,0.5277,349.9000,4.2156
-13.9798,0.8150,349.9000,4.2226
-15.3680,-0.2093,349.9000,4.2237
-12.3345,-0.0216,349.9000,4.2259
-15.6767,1.0989,349.9000,4.2265
-15.3082,0.5533,349.9000,4.2081
-14.1081,-2.0869,349.9000,4.2221
-13.7335,1.4866,349.9000,4.2133
-14.1021,1.8103,349.9000,4.2231
-15.5207,-0.5619,349.9000,4.2249
-15.4160,2.0657,349.9000,4.2246
-16.0856,-0.9964,349.9000,4.2220
-11.9153,-0.0448,349.9000,4.2206
-12.1911,-0.0593,349.9000,4.2206
-14.7084,0.1274,349.9000,4.2228
-15.1361,0.0994,349.9000,4.2190
-13.5939,0.9622,349.9000,4.2140
-14.2387,0.2824,349.9000,4.2224
-12.7624,1.0482,349.9000,4.2254
-14.7591,0.3289,349.9000,4.2243
-15.5377,-1.1075,349.9000,4.2221
-13.5176,0.0873,349.9000,4.2238
-14.4348,0.1538,349.9000,4.2224
-15.7127,1.4093,349.9000,4.2150
-12.8055,1.4256,349.9000,4.2246
-15.2348,1.7307,349.9000,4.2234
-14.0861,-1.2624,349.9000,4.2245
-16.0943,0.7960,349.9000,4.2219
-15.4696,0.3800,349.9000,4.2236
-14.2438,0.9289,349.9000,4.2224
-14.3411,0.0683,349.9000,4.2234
-14.8463,-1.6358,349.9000,4.2231
